PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
4.52,9.11,12.06,0.59,15.89,12.84,0.22,11.83,3.37,Good
2.33,6.33,11.68,0.29,15.65,14.43,0.24,12.24,2.76,Good
2.17,4.57,11.64,0.22,15.57,16.06,0.19,12.61,2.8,Good
2.49,7.33,20.36,0.7,25.15,25.23,0.24,12.97,3.3,Good
14.44,22.3,11.79,0.76,16.31,22.38,0.41,13.0,0.87,Good
0.99,8.1,11.67,0.25,15.53,21.22,0.2,11.92,3.6,Good
1.4,5.8,11.65,0.07,15.31,22.03,0.17,8.11,4.35,Good
0.98,4.59,11.63,0.07,15.17,24.59,0.16,8.82,3.77,Good
1.19,4.99,11.66,0.07,15.3,24.48,0.17,8.52,4.17,Good
1.14,6.19,11.83,0.37,15.85,20.36,0.17,8.62,4.86,Good
1.25,9.1,11.7,0.22,15.6,24.03,0.15,1.76,2.0,Good
5.92,19.02,11.74,0.26,15.74,36.73,0.2,2.84,1.58,Good
2.63,9.03,11.55,0.06,15.15,29.9,0.15,2.33,0.34,Good
2.88,13.68,11.74,0.32,15.79,29.98,0.16,1.91,1.79,Good
2.76,13.65,11.61,0.38,15.67,25.38,0.05,0.95,2.6,Good
8.62,32.1,11.57,0.14,15.41,25.57,0.07,1.08,1.84,Good
7.98,28.92,11.57,0.16,15.5,23.4,0.05,1.03,1.76,Good
1.39,7.21,11.8,0.18,15.71,22.46,0.03,1.24,1.08,Good
0.16,3.16,11.69,0.07,15.41,22.42,0.02,1.08,1.29,Good
0.24,1.15,11.56,0.05,15.14,25.45,0.02,1.38,1.4,Good
0.28,10.02,12.04,0.13,15.96,28.73,0.12,2.03,0.95,Good
1.89,9.27,11.91,0.1,15.75,28.68,0.11,2.23,1.16,Good
4.49,5.39,11.44,0.07,15.11,19.41,0.02,2.07,3.39,Good
81.4,124.5,1.44,20.5,12.08,10.72,0.12,15.24,127.09,Moderate
78.32,129.06,1.26,26.0,14.85,10.28,0.14,26.96,117.44,Moderate
88.76,135.32,6.6,30.85,21.77,12.91,0.11,33.59,111.81,Moderate
64.18,104.09,2.56,28.07,17.01,11.42,0.09,19.0,138.18,Moderate
72.47,114.84,5.23,23.2,16.59,12.25,0.16,10.55,109.74,Moderate
69.8,114.86,4.69,20.17,14.54,10.95,0.12,14.07,118.09,Moderate
73.96,113.56,4.58,19.29,13.97,10.95,0.1,13.9,123.8,Moderate
89.9,140.2,7.71,26.19,19.87,13.12,0.1,19.37,128.73,Moderate
87.14,130.52,0.97,21.31,12.12,14.36,0.15,11.41,114.8,Poor
84.64,125.0,4.02,26.98,17.58,14.41,0.18,9.84,112.41,Moderate
88.36,121.77,3.7,20.23,13.75,13.72,0.12,14.02,117.93,Moderate
96.83,139.36,1.6,25.65,14.99,15.12,0.11,16.54,117.21,Poor
117.46,181.64,4.26,41.1,25.32,17.34,0.13,28.79,94.63,Poor
122.88,208.86,5.56,54.87,33.71,17.96,0.27,22.97,68.6,Very Poor
74.28,141.22,6.1,44.97,28.88,15.73,0.09,21.9,60.62,Moderate
50.32,102.77,1.73,33.85,19.41,12.56,0.1,13.65,68.15,Moderate
58.47,115.27,4.93,41.64,26.15,15.2,0.16,18.37,73.75,Moderate
89.35,131.48,7.97,42.1,28.88,21.24,0.24,7.42,44.67,Moderate
64.42,99.74,7.2,34.78,24.36,17.63,0.15,5.81,50.16,Moderate
69.4,98.94,5.81,29.97,20.67,19.34,0.14,5.8,55.0,Moderate
71.07,109.65,4.19,25.0,16.7,16.0,0.1,8.33,79.04,Moderate
79.76,129.81,8.77,40.92,28.84,15.56,0.17,8.51,73.17,Moderate
108.06,167.62,7.29,47.05,30.94,18.52,0.08,16.05,70.74,Poor
100.75,172.04,7.63,53.94,33.45,18.49,0.11,14.05,59.2,Poor
106.25,171.56,2.74,43.09,21.78,19.66,0.13,15.45,66.9,Poor
83.79,141.83,6.77,47.47,30.74,17.37,0.3,13.35,77.54,Poor
79.98,147.74,7.02,49.55,32.07,17.28,0.14,13.58,79.71,Moderate
76.27,152.59,7.51,56.0,35.9,19.53,0.15,29.88,56.97,Moderate
