PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI_Bucket
29.03,114.38,3.1,3.97,10.41,17.87,0.6,14.87,38.8,Satisfactory
35.93,148.36,2.98,4.31,10.11,25.39,0.67,13.91,41.74,Moderate
35.26,115.35,2.99,4.15,9.9,25.6,0.56,12.99,50.61,Moderate
24.52,88.82,3.16,4.5,10.35,25.25,0.45,10.63,47.61,Moderate
26.31,79.69,2.96,4.43,9.78,24.84,0.45,14.61,45.71,Satisfactory
29.31,89.31,3.63,4.14,10.15,26.85,0.38,17.55,62.14,Satisfactory
19.09,94.4,4.36,5.67,10.72,30.73,0.38,16.16,57.07,Moderate
19.87,94.14,4.56,7.07,11.44,30.12,0.42,12.95,42.21,Satisfactory
11.88,44.34,3.83,6.59,10.57,29.9,0.55,11.69,29.66,Satisfactory
15.25,43.99,3.25,5.34,8.53,30.48,0.48,9.53,28.26,Good
16.6,31.15,3.11,5.43,8.27,31.62,0.68,9.95,18.6,Good
18.59,39.63,3.23,5.11,8.69,30.59,0.49,13.92,35.57,Satisfactory
18.36,49.0,4.36,5.02,8.3,32.86,0.32,11.65,28.53,Satisfactory
16.71,55.63,2.54,9.17,6.52,24.7,0.2,12.02,27.44,Satisfactory
14.48,42.99,1.49,10.16,6.46,33.3,0.2,11.58,34.95,Satisfactory
21.25,41.22,1.76,9.52,6.38,41.79,0.23,10.36,27.91,Satisfactory
22.07,34.31,2.2,8.37,6.1,41.78,0.29,13.94,27.05,Good
16.35,27.91,2.94,14.64,9.96,40.41,0.3,11.11,32.2,Satisfactory
21.12,44.53,3.72,14.96,10.35,42.23,0.3,12.61,33.96,Satisfactory
29.37,60.45,1.36,11.05,6.89,39.71,0.29,16.51,40.05,Satisfactory
24.53,69.69,1.92,12.04,7.65,35.08,0.32,10.59,34.92,Satisfactory
25.59,71.11,2.02,10.68,7.22,28.25,0.3,11.46,44.57,Satisfactory
33.92,84.64,0.61,8.16,4.75,25.72,0.31,14.37,56.51,Satisfactory
25.68,74.5,1.35,11.6,7.04,26.65,0.3,8.41,36.37,Satisfactory
21.72,54.51,3.07,8.43,6.82,24.39,0.3,12.65,37.23,Satisfactory
21.74,69.81,0.52,6.21,3.66,22.38,0.31,12.87,62.28,Satisfactory
21.2,55.75,3.68,11.63,8.93,28.18,0.3,13.31,53.87,Satisfactory
20.84,59.04,2.28,7.87,5.14,27.7,0.31,11.98,53.01,Satisfactory
28.75,72.21,0.69,8.61,4.82,28.94,0.31,8.31,49.32,Satisfactory
16.34,50.9,0.88,8.53,5.21,35.9,0.31,7.94,42.03,Satisfactory
23.97,69.58,1.36,9.83,6.07,49.79,0.3,7.64,32.07,Satisfactory
26.45,57.26,0.44,9.1,5.08,35.05,0.28,9.62,45.2,Satisfactory
21.69,44.88,1.02,9.25,5.03,28.91,0.3,14.34,43.95,Satisfactory
19.17,44.48,1.03,7.69,4.8,26.43,0.29,8.71,36.97,Satisfactory
16.79,29.54,2.71,8.58,6.59,26.44,0.3,8.3,22.17,Good
14.15,33.6,1.88,6.87,5.11,25.67,0.3,13.13,24.25,Good
31.84,64.54,0.92,7.4,4.62,29.16,0.31,10.19,43.26,Satisfactory
35.55,68.82,0.59,6.79,4.02,46.74,0.3,7.42,43.33,Satisfactory
39.42,82.24,0.67,7.21,4.31,44.84,0.29,13.08,45.54,Satisfactory
38.89,88.27,1.25,8.57,5.48,59.2,0.3,15.06,35.94,Satisfactory
20.28,45.56,1.0,7.36,4.62,47.19,0.3,12.3,35.69,Satisfactory
32.9,72.38,0.56,9.87,5.92,36.63,0.33,14.91,34.33,Satisfactory
41.22,48.55,7.44,19.57,20.43,16.98,0.99,10.2,43.0,Satisfactory
36.82,55.76,9.37,21.33,24.79,16.13,1.04,10.03,35.7,Satisfactory
36.7,52.11,10.71,22.3,28.92,17.81,1.1,6.91,37.37,Satisfactory
39.32,38.33,9.28,17.93,25.54,18.12,0.93,5.9,31.92,Satisfactory
33.86,44.81,13.85,18.25,29.76,19.24,1.16,3.82,42.43,Moderate
29.8,24.1,9.46,19.87,27.18,16.36,1.08,4.42,47.02,Moderate
103.16,29.59,8.2,25.81,33.35,28.12,1.08,4.58,43.43,Moderate
30.57,33.87,6.13,18.13,24.23,41.42,0.74,6.77,26.57,Satisfactory
35.63,26.86,6.48,18.26,24.65,42.25,0.94,6.38,39.38,Satisfactory
28.74,31.54,6.64,16.17,22.76,39.28,0.84,4.55,32.68,Satisfactory
27.56,25.38,9.39,19.09,28.46,36.86,0.97,7.59,25.69,Satisfactory
31.04,29.47,7.66,18.11,25.77,38.2,0.85,9.25,25.26,Satisfactory
29.77,23.36,9.85,18.57,27.52,39.38,0.82,10.6,32.18,Satisfactory
45.13,40.85,9.16,17.75,26.87,38.79,0.88,8.65,28.09,Satisfactory
23.22,26.66,8.96,18.94,27.57,34.32,0.86,6.76,22.33,Satisfactory
25.94,36.78,8.22,20.83,29.0,36.58,0.84,6.32,29.16,Satisfactory
32.29,48.3,6.21,16.86,22.76,29.56,0.88,5.85,55.18,Satisfactory
28.07,28.12,6.98,15.56,21.99,28.98,0.8,6.45,44.99,Satisfactory
36.63,53.67,8.77,23.47,30.69,32.77,0.9,5.63,38.45,Satisfactory
33.19,33.25,8.91,20.61,26.92,27.84,0.83,5.57,66.13,Moderate
34.12,39.61,8.25,16.49,22.86,27.36,0.83,5.89,62.67,Moderate
51.08,32.87,10.65,22.26,30.74,28.86,0.91,5.95,58.91,Moderate
51.84,27.2,14.55,30.79,39.85,42.01,0.88,6.2,62.68,Moderate
42.23,33.32,24.1,33.02,42.12,87.35,0.78,6.2,67.28,Moderate
52.82,14.82,13.07,25.52,31.66,54.48,0.71,5.45,42.93,Moderate
26.19,24.39,10.88,23.39,31.99,40.56,0.7,6.21,52.98,Moderate
21.07,32.96,5.9,16.89,22.72,37.98,0.62,8.41,40.1,Satisfactory
24.99,25.65,7.25,17.69,23.27,39.34,1.05,6.47,44.3,Satisfactory
22.61,29.99,7.91,17.47,24.91,42.18,0.65,5.14,37.47,Satisfactory
22.66,42.4,6.04,16.78,22.87,33.0,0.64,8.7,48.65,Satisfactory
16.68,30.27,5.21,13.39,18.57,15.17,0.57,5.95,56.49,Satisfactory
18.65,42.25,5.37,13.7,19.05,14.28,0.61,6.14,56.7,Moderate
21.83,67.63,6.15,14.07,20.18,15.41,0.9,7.6,53.95,Satisfactory
25.51,47.55,5.67,14.06,19.67,22.67,0.88,8.55,60.52,Moderate
19.01,33.79,5.35,16.94,22.16,36.98,0.86,11.34,41.27,Moderate
26.43,49.99,5.54,17.24,22.72,41.01,0.89,10.24,37.5,Moderate
13.03,27.27,13.91,15.33,22.26,29.75,0.57,8.6,31.21,Satisfactory
13.2,25.96,7.36,12.65,19.71,28.04,0.55,5.96,37.43,Satisfactory
22.64,39.46,5.77,18.01,23.76,42.66,0.94,7.14,31.17,Satisfactory
29.21,38.5,9.5,18.82,27.29,54.1,1.0,14.46,24.79,Satisfactory
31.43,25.58,8.15,16.93,24.7,44.27,0.71,7.08,26.59,Satisfactory
25.89,80.57,7.35,14.8,22.11,15.38,0.64,4.37,18.42,Satisfactory
17.58,23.46,7.96,13.98,18.63,16.49,0.58,6.04,31.27,Good
22.35,39.35,6.8,13.79,20.1,26.11,0.61,5.02,21.93,Good
17.46,33.33,5.63,17.31,22.87,21.26,0.62,6.22,35.29,Satisfactory
18.64,25.63,6.12,19.81,25.87,20.03,0.59,5.48,38.69,Good
20.57,37.57,6.72,15.76,22.45,16.78,0.62,5.43,51.83,Moderate
25.15,29.91,7.9,15.8,22.67,19.36,0.67,5.5,34.57,Satisfactory
22.87,39.16,7.53,14.85,22.38,20.91,0.73,6.61,59.16,Moderate
27.11,55.11,6.19,14.73,20.93,19.77,0.75,6.39,39.33,Moderate
26.91,45.12,7.56,14.12,21.68,19.94,0.78,5.87,40.6,Moderate
30.64,46.36,4.93,15.41,20.31,38.11,1.05,5.99,55.87,Moderate
29.69,26.98,8.46,17.05,24.62,40.45,1.0,6.07,49.45,Satisfactory
35.06,35.58,9.12,18.79,26.79,41.25,0.93,6.84,50.73,Moderate
22.29,22.95,10.23,18.59,27.05,43.2,0.82,7.16,42.75,Satisfactory
25.84,39.75,7.44,22.76,30.02,41.7,0.81,6.69,41.25,Satisfactory
26.37,61.74,6.35,13.94,14.76,16.37,0.78,6.17,44.92,Moderate
37.51,72.52,5.03,13.31,18.24,39.76,0.85,6.02,36.98,Satisfactory
37.85,55.29,3.93,12.45,16.37,24.9,0.75,6.38,68.76,Moderate
39.26,51.62,4.34,12.23,16.55,26.19,0.86,6.34,61.37,Moderate
23.59,73.02,4.03,11.72,15.73,22.87,0.83,6.39,55.72,Moderate
27.36,46.3,3.76,11.32,15.07,23.38,0.71,6.64,59.95,Satisfactory
23.45,43.81,4.37,11.69,12.18,13.97,0.46,6.07,56.94,Satisfactory
20.82,38.66,4.21,10.29,14.34,15.1,0.64,6.12,58.37,Satisfactory
28.74,40.41,4.05,10.53,14.56,24.17,0.88,6.69,53.64,Satisfactory
22.59,32.44,4.24,11.14,15.35,24.31,0.92,6.3,54.32,Satisfactory
26.98,45.52,4.53,12.0,16.53,24.25,0.99,6.94,57.81,Moderate
23.18,26.53,5.48,12.44,17.86,26.02,1.15,7.09,49.51,Satisfactory
38.04,56.21,5.32,11.43,16.7,23.7,1.15,6.7,57.05,Moderate
33.44,71.07,7.34,13.74,13.94,12.39,0.83,5.97,53.35,Moderate
43.67,101.54,12.1,16.38,24.14,11.83,1.12,6.58,59.37,Moderate
61.94,86.53,5.94,12.87,16.28,24.8,0.76,6.28,58.54,Moderate
35.03,61.6,4.45,11.77,13.95,24.95,0.9,6.61,45.56,Moderate
16.9,37.12,5.34,10.73,14.27,24.36,0.86,6.19,28.38,Satisfactory
14.27,30.32,4.7,10.79,13.38,24.95,0.93,6.36,48.1,Satisfactory
17.76,45.69,4.84,10.05,12.39,25.31,0.89,7.13,44.14,Moderate
20.99,53.49,6.51,10.69,10.41,16.27,0.68,6.76,37.83,Moderate
25.87,39.41,6.15,9.1,11.47,13.55,0.88,6.47,39.05,Moderate
23.02,39.11,6.55,11.32,14.08,17.26,0.78,6.03,41.73,Moderate
41.82,87.5,5.71,13.2,15.67,19.85,0.84,5.99,64.23,Moderate
32.4,46.68,4.54,14.87,18.43,32.73,0.8,6.54,67.72,Moderate
31.1,25.97,5.67,13.87,16.99,30.25,0.83,6.78,57.6,Moderate
23.49,52.0,5.71,12.89,18.07,29.99,0.81,5.46,57.91,Satisfactory
47.4,40.58,4.85,15.4,13.45,13.78,0.63,5.71,58.15,Satisfactory
19.32,91.05,5.4,13.42,14.99,11.59,0.77,5.38,55.94,Moderate
58.64,66.67,16.41,24.13,30.18,71.41,0.75,5.58,63.42,Moderate
36.56,94.02,13.22,19.29,24.68,71.93,0.81,6.55,63.92,Moderate
24.5,79.42,8.28,21.5,22.13,70.21,0.87,5.6,52.84,Moderate
21.13,67.66,8.86,20.03,20.52,49.41,0.8,5.86,46.63,Satisfactory
21.2,55.08,10.48,12.98,17.44,26.58,0.76,5.86,47.37,Satisfactory
16.34,72.77,7.62,13.05,12.75,14.35,0.56,6.25,48.3,Satisfactory
14.93,34.46,6.92,12.82,16.24,10.29,0.67,6.08,52.17,Satisfactory
21.14,60.99,8.67,10.65,14.66,23.59,0.61,5.94,48.79,Satisfactory
20.33,42.85,10.05,14.28,18.72,26.6,0.68,5.98,42.02,Satisfactory
17.58,27.06,8.48,13.95,18.0,26.58,0.68,6.39,31.95,Satisfactory
30.95,31.76,10.97,14.72,19.65,32.82,0.81,6.92,29.34,Satisfactory
32.0,36.8,9.54,13.39,17.33,30.94,0.77,5.46,30.63,Satisfactory
31.76,36.51,9.22,16.52,15.93,26.93,0.6,5.72,29.19,Satisfactory
35.03,50.72,9.87,15.91,20.76,29.68,0.87,5.7,32.64,Satisfactory
26.55,26.19,8.77,14.07,19.12,26.59,0.85,6.7,27.49,Satisfactory
28.47,28.65,10.28,15.97,22.34,23.88,0.85,5.56,28.67,Satisfactory
40.0,47.83,10.76,13.91,21.85,25.99,0.9,5.86,36.29,Satisfactory
35.34,61.61,10.86,22.06,30.74,37.63,0.92,8.83,33.34,Satisfactory
46.48,75.12,15.09,29.32,42.27,70.13,0.95,8.14,32.03,Satisfactory
95.49,111.38,15.05,17.79,22.53,22.28,0.73,9.38,30.06,Moderate
153.73,196.29,16.89,18.36,34.75,16.17,1.34,13.94,32.75,Very Poor
54.13,72.84,11.23,26.17,36.78,92.78,1.42,12.81,27.69,Poor
31.22,46.07,24.12,33.68,56.01,86.42,0.8,8.58,33.76,Satisfactory
34.65,32.13,12.43,28.92,40.96,78.26,0.78,7.21,28.51,Satisfactory
87.99,56.38,16.69,27.43,42.24,71.49,0.99,6.61,30.92,Moderate
40.78,56.24,33.32,22.47,48.82,88.85,1.04,7.58,29.3,Moderate
34.45,70.97,14.04,15.48,22.08,21.3,0.71,6.82,30.83,Satisfactory
115.35,241.6,8.53,19.41,26.57,44.24,0.98,8.77,44.21,Poor
98.83,181.03,9.5,19.12,27.57,50.12,1.08,8.17,46.2,Poor
105.94,183.42,8.85,18.98,26.64,47.78,1.09,7.9,45.94,Poor
121.43,201.76,10.6,18.15,27.37,48.42,1.04,7.08,47.64,Poor
142.9,196.37,9.56,17.94,26.41,44.44,0.96,7.75,55.69,Poor
96.8,172.27,10.06,13.83,22.12,19.52,0.86,5.4,53.69,Poor
93.13,198.2,11.81,13.01,24.79,17.81,0.98,5.46,53.81,Poor
61.45,104.29,10.51,14.86,23.68,28.7,0.82,8.85,43.01,Moderate
31.32,71.74,9.95,15.61,25.55,43.56,0.54,8.42,31.9,Satisfactory
37.23,109.85,8.54,13.89,20.04,68.8,0.52,7.38,41.66,Satisfactory
19.18,66.95,7.31,11.17,13.12,57.31,0.47,6.06,43.38,Satisfactory
21.99,52.7,9.57,15.3,18.49,48.59,0.52,7.39,38.96,Satisfactory
44.91,80.85,9.8,14.58,20.74,47.94,0.54,5.87,38.12,Satisfactory
56.9,154.66,5.21,14.19,16.07,22.5,0.53,6.7,51.76,Moderate
26.91,125.72,6.88,11.86,15.25,36.89,0.46,4.97,29.15,Satisfactory
28.52,37.66,9.62,11.17,20.75,46.14,0.55,4.67,28.85,Satisfactory
20.95,34.1,6.89,10.0,16.8,61.47,0.46,5.58,22.78,Good
33.55,70.14,6.71,10.78,17.41,78.83,0.47,8.18,27.28,Satisfactory
31.16,50.45,5.94,10.19,16.06,61.69,0.46,7.89,27.26,Satisfactory
46.05,59.79,5.71,15.6,21.16,49.2,0.47,8.55,23.1,Satisfactory
59.64,65.54,6.8,12.43,18.43,51.02,0.49,7.4,33.32,Moderate
44.81,63.09,5.93,12.6,17.11,39.16,0.47,5.42,31.05,Satisfactory
53.33,84.65,7.52,21.97,26.56,48.86,0.52,8.19,33.72,Satisfactory
37.8,80.2,7.46,12.54,15.73,43.12,0.53,10.19,39.18,Satisfactory
30.56,62.56,5.67,20.28,22.02,40.31,0.52,7.09,32.91,Satisfactory
21.08,54.48,10.53,10.09,18.19,83.27,0.45,9.47,27.3,Satisfactory
18.45,62.97,6.3,12.09,18.24,74.49,0.38,6.84,31.58,Good
17.79,52.26,6.9,12.66,19.5,53.9,0.47,6.93,33.27,Satisfactory
21.17,41.24,8.03,11.51,19.5,82.54,0.44,8.1,23.57,Good
36.17,82.52,6.03,12.03,18.0,195.53,0.54,5.45,26.08,Satisfactory
37.56,87.09,3.91,11.2,15.0,157.47,0.52,7.67,34.43,Satisfactory
62.41,78.57,3.78,11.1,14.87,149.57,0.44,7.47,33.57,Satisfactory
53.68,89.09,5.35,13.29,17.05,207.14,0.55,7.21,33.97,Moderate
34.82,35.98,3.65,15.86,19.28,126.94,0.91,6.22,20.01,Satisfactory
35.41,44.05,6.05,21.19,26.23,119.95,0.93,5.71,20.11,Satisfactory
27.57,42.96,5.52,26.96,31.82,94.18,0.71,7.03,19.98,Satisfactory
36.55,27.38,10.25,23.21,32.61,97.57,0.73,6.47,24.04,Satisfactory
27.78,38.29,6.04,16.54,21.33,104.69,0.54,6.08,24.0,Satisfactory
34.16,42.32,7.61,18.49,25.69,94.21,0.56,10.79,22.78,Satisfactory
40.78,52.46,12.14,21.13,31.9,91.29,0.72,13.79,22.61,Satisfactory
35.6,44.1,11.43,19.49,30.77,104.56,0.64,7.5,26.83,Satisfactory
31.23,31.47,7.9,18.27,25.96,73.65,0.7,8.23,26.19,Satisfactory
44.04,56.34,5.08,17.87,22.7,87.78,0.53,6.74,35.26,Satisfactory
48.07,49.98,7.44,17.69,24.6,87.37,0.52,8.7,29.67,Satisfactory
52.28,67.54,4.47,16.88,21.11,85.14,0.53,8.95,33.87,Satisfactory
65.45,84.77,4.19,16.87,20.82,86.5,0.66,8.04,36.82,Moderate
72.57,79.66,7.46,18.47,25.58,87.16,0.69,13.49,33.86,Moderate
57.74,59.56,6.65,16.14,22.47,80.23,0.6,17.17,38.89,Moderate
52.75,60.37,7.23,19.05,25.99,88.89,0.69,7.07,32.21,Satisfactory
53.51,84.11,5.61,19.46,25.04,76.4,0.6,7.88,28.38,Satisfactory
54.37,73.9,5.54,19.74,25.26,85.55,0.75,9.79,33.18,Satisfactory
58.43,74.13,10.48,20.28,30.75,84.51,0.72,18.7,27.5,Moderate
31.88,59.15,17.1,17.66,33.61,77.64,0.54,13.18,24.11,Satisfactory
36.94,63.7,13.01,20.27,32.37,87.86,0.65,11.45,28.28,Satisfactory
52.48,69.8,6.62,14.61,20.92,70.6,0.62,8.48,33.22,Satisfactory
38.74,46.37,5.03,14.2,18.99,56.89,0.57,10.6,35.08,Satisfactory
45.49,66.8,5.96,15.44,20.97,66.97,0.61,13.03,36.95,Satisfactory
28.25,40.44,6.69,12.66,18.7,69.17,0.65,12.44,24.79,Satisfactory
27.59,23.01,8.99,11.47,19.86,65.15,0.76,7.0,21.31,Satisfactory
32.16,36.63,10.43,10.95,20.62,60.39,0.97,10.2,25.52,Satisfactory
30.49,44.9,7.95,11.49,18.64,62.05,0.87,8.4,28.4,Satisfactory
23.37,30.76,4.8,8.69,13.3,45.46,0.77,7.45,30.88,Satisfactory
19.45,25.87,5.72,10.41,15.93,50.01,0.83,8.12,25.0,Satisfactory
33.54,40.38,4.27,12.16,15.99,53.89,0.55,19.3,28.97,Satisfactory
42.22,61.8,7.14,17.3,24.25,58.6,0.55,21.18,29.73,Satisfactory
42.16,75.24,9.27,17.47,26.55,48.44,0.78,17.91,27.67,Satisfactory
40.76,69.94,10.51,17.3,27.69,52.55,0.77,9.65,28.3,Satisfactory
39.81,71.75,11.64,18.69,30.05,58.71,0.79,10.03,27.22,Satisfactory
58.38,73.51,6.15,14.35,20.28,58.05,0.85,8.13,32.45,Satisfactory
74.12,122.43,6.12,16.68,22.56,61.12,0.88,17.51,33.52,Moderate
122.88,168.34,13.48,20.24,33.44,72.09,1.1,23.68,35.37,Poor
48.06,66.92,7.2,13.76,20.74,44.99,0.65,17.7,33.57,Moderate
34.09,44.39,7.78,12.32,19.86,44.81,0.65,19.88,33.34,Satisfactory
35.33,53.18,8.07,11.1,18.78,39.79,0.7,22.76,26.76,Satisfactory
28.67,28.47,4.85,10.68,15.06,39.0,0.84,27.29,29.02,Satisfactory
31.17,33.25,6.4,17.08,22.8,42.27,0.78,23.09,26.29,Satisfactory
37.66,53.48,10.01,23.7,33.31,50.68,0.88,17.54,26.38,Satisfactory
44.91,60.17,8.14,22.62,30.54,50.0,0.8,18.22,31.09,Satisfactory
47.95,64.49,10.45,20.03,29.44,58.36,0.89,12.25,34.26,Satisfactory
59.95,85.4,7.07,16.9,23.65,54.57,0.87,17.79,34.64,Moderate
62.34,112.61,11.88,24.68,36.45,47.63,0.97,19.6,32.88,Moderate
50.48,95.63,13.16,20.2,33.21,53.49,0.9,14.06,34.13,Moderate
41.74,86.84,15.35,16.43,31.63,50.09,0.9,10.3,33.78,Satisfactory
47.26,79.24,11.22,18.37,29.51,44.6,1.08,8.09,31.54,Satisfactory
53.66,69.03,8.75,17.4,26.08,42.72,1.11,8.18,33.41,Satisfactory
52.29,65.93,8.89,14.74,21.46,42.76,1.02,8.01,26.05,Satisfactory
43.82,59.48,9.47,14.87,18.86,45.74,0.94,7.71,21.78,Satisfactory
36.56,53.23,9.01,14.02,18.27,46.62,1.09,9.02,32.79,Satisfactory
32.4,50.04,8.9,13.12,16.95,46.18,0.86,9.86,28.75,Satisfactory
30.58,38.29,8.28,12.12,13.98,44.32,0.77,15.74,23.73,Satisfactory
37.52,57.78,7.46,13.74,15.2,43.9,0.88,16.44,20.76,Satisfactory
39.6,65.6,10.16,10.92,17.53,39.7,0.88,16.41,26.69,Satisfactory
39.93,59.04,12.01,13.26,20.76,38.35,0.84,12.91,30.7,Satisfactory
40.05,56.19,13.34,19.32,32.42,34.32,0.91,8.57,33.97,Satisfactory
36.32,55.83,9.08,14.12,23.09,35.67,0.78,8.19,27.6,Satisfactory
28.45,49.06,7.69,10.61,18.18,36.46,0.77,8.97,29.24,Satisfactory
28.1,43.78,6.44,8.77,15.08,40.54,0.8,13.16,31.94,Satisfactory
35.41,61.47,5.24,10.09,15.14,40.52,0.73,9.11,34.11,Satisfactory
29.12,67.85,8.51,19.96,27.78,39.59,0.84,10.31,28.62,Satisfactory
32.17,78.26,7.23,22.0,28.76,37.32,0.86,10.75,30.14,Satisfactory
49.48,98.17,6.56,18.01,24.45,38.99,0.93,17.74,23.31,Satisfactory
56.85,102.04,7.34,17.3,24.59,39.09,1.02,18.01,37.77,Moderate
54.82,84.0,10.92,17.74,27.25,43.92,0.9,13.03,31.92,Moderate
35.13,53.43,8.46,12.71,21.01,42.36,0.78,13.14,21.95,Satisfactory
34.25,64.36,9.7,13.64,23.12,39.88,0.77,13.37,18.31,Satisfactory
41.49,79.79,16.63,18.11,34.56,48.53,0.96,9.15,24.7,Satisfactory
42.95,94.21,12.45,14.71,26.62,91.73,0.77,15.05,24.71,Satisfactory
35.52,69.95,9.18,14.09,22.64,88.0,0.67,19.39,27.14,Satisfactory
38.88,125.87,22.11,19.91,40.21,73.98,0.83,8.47,16.21,Satisfactory
29.2,51.45,7.52,8.63,15.94,109.55,0.86,8.51,20.66,Satisfactory
28.75,53.6,5.3,8.88,13.32,104.04,0.72,18.19,26.85,Satisfactory
31.07,73.54,9.17,10.95,19.03,97.04,0.97,11.57,23.61,Satisfactory
33.9,56.99,6.98,12.69,18.97,78.04,0.9,11.02,28.52,Satisfactory
39.25,63.4,5.38,8.88,14.06,39.97,0.58,7.63,39.14,Satisfactory
42.97,72.05,6.89,8.7,15.26,41.23,0.67,8.79,31.47,Satisfactory
33.08,49.17,5.5,11.08,16.35,39.86,0.77,16.07,36.16,Satisfactory
36.15,84.54,9.01,14.62,23.07,44.53,0.69,19.12,38.15,Satisfactory
35.99,43.7,5.7,9.2,14.59,34.2,0.55,11.18,50.11,Satisfactory
43.6,64.94,6.0,13.01,18.88,33.25,0.66,18.07,26.4,Satisfactory
42.16,94.26,9.25,16.26,25.41,32.11,0.64,17.71,43.88,Satisfactory
33.29,66.83,8.03,15.71,23.69,37.45,0.7,6.97,34.39,Satisfactory
26.69,29.86,10.95,14.04,22.63,40.5,0.74,6.12,20.27,Satisfactory
24.95,25.63,10.19,9.72,17.01,41.88,0.75,6.52,21.65,Satisfactory
30.94,27.06,11.16,10.66,19.21,65.59,0.65,4.53,24.05,Satisfactory
21.85,25.97,7.54,6.21,13.11,89.9,0.62,6.52,21.36,Satisfactory
25.93,34.85,10.69,8.54,18.79,90.66,0.71,5.87,20.12,Satisfactory
27.37,41.72,10.26,10.56,20.54,80.22,0.55,5.51,27.37,Satisfactory
16.69,38.14,9.69,7.98,17.42,38.99,0.63,8.56,34.46,Satisfactory
24.94,41.38,8.6,8.75,17.21,40.37,0.74,5.64,29.98,Satisfactory
35.65,33.31,11.59,16.97,28.29,44.03,0.96,5.6,21.73,Satisfactory
39.29,46.44,9.57,15.67,25.01,42.2,0.7,13.21,21.6,Satisfactory
38.48,51.07,9.33,10.34,19.31,36.49,0.55,14.94,30.14,Satisfactory
33.26,5.29,9.19,10.44,17.69,41.14,0.86,19.01,21.02,Satisfactory
41.56,123.82,9.98,9.17,16.23,40.46,0.86,7.6,30.61,Satisfactory
39.41,4.94,9.46,8.1,16.71,43.97,0.87,5.75,49.4,Satisfactory
44.73,6.39,9.42,10.09,18.85,47.47,0.87,5.81,40.15,Satisfactory
32.68,4.82,9.26,8.56,16.27,42.16,0.91,5.55,31.17,Satisfactory
29.1,1.8,8.1,8.49,16.23,54.98,0.97,5.84,45.38,Satisfactory
31.91,0.21,7.97,7.85,13.48,60.26,0.94,5.93,31.28,Satisfactory
24.22,6.07,6.82,6.91,13.16,55.45,0.61,5.83,35.18,Satisfactory
22.43,1.63,5.78,4.38,9.79,51.89,0.65,5.04,37.16,Satisfactory
31.57,4.06,7.27,7.22,13.84,49.77,0.55,6.3,36.81,Satisfactory
27.6,0.62,5.71,4.85,9.8,44.96,0.51,5.09,33.97,Satisfactory
34.81,1.55,5.52,4.91,10.1,46.53,0.56,4.41,16.33,Satisfactory
26.79,111.83,6.97,7.21,13.3,45.68,0.52,6.88,34.65,Satisfactory
29.31,162.67,9.82,9.78,16.37,52.9,0.52,5.79,33.94,Good
31.56,185.25,5.54,8.57,13.7,54.33,0.51,6.26,35.24,Satisfactory
32.94,3.73,6.25,10.39,16.23,50.1,0.62,5.54,36.35,Satisfactory
31.17,170.09,5.72,8.54,13.84,50.32,0.61,4.94,37.84,Satisfactory
24.81,183.34,5.23,7.25,12.21,51.8,0.59,5.22,38.03,Satisfactory
20.77,291.75,5.99,7.11,12.6,46.61,0.58,4.61,38.31,Satisfactory
21.59,177.96,5.9,7.27,11.9,46.39,0.55,4.96,37.64,Satisfactory
14.27,119.96,7.28,9.43,13.82,43.97,0.61,4.12,32.83,Satisfactory
11.9,151.3,6.29,9.57,13.3,47.13,0.59,4.57,30.45,Satisfactory
14.77,288.68,5.78,7.9,11.87,45.69,0.57,4.13,34.11,Satisfactory
14.71,180.01,6.43,12.74,15.12,60.1,0.57,4.78,32.83,Satisfactory
25.2,33.86,7.42,9.59,16.23,43.04,1.01,6.77,49.76,Satisfactory
27.82,311.98,7.95,8.96,16.14,44.75,1.0,6.44,41.21,Satisfactory
20.0,234.46,9.17,9.65,18.62,38.36,1.07,7.23,39.81,Satisfactory
18.85,127.81,6.8,7.97,12.57,44.57,1.02,4.8,47.36,Satisfactory
36.15,346.73,8.28,10.07,17.89,39.35,1.16,7.27,49.45,Moderate
18.83,25.52,10.66,9.24,16.95,44.09,1.07,6.57,53.61,Satisfactory
20.61,13.84,8.01,9.41,16.64,44.45,1.01,4.04,59.22,Satisfactory
18.5,76.53,7.75,8.64,15.78,42.17,1.05,4.05,60.66,Satisfactory
18.53,27.33,10.03,9.51,19.15,43.01,1.09,5.31,55.1,Satisfactory
40.73,42.38,8.42,10.97,18.93,44.39,1.17,5.12,52.89,Satisfactory
20.52,142.52,8.59,12.19,20.39,43.08,1.17,5.35,56.57,Moderate
23.04,72.71,10.77,12.62,21.97,42.77,1.16,6.34,46.75,Satisfactory
22.43,32.25,8.69,16.08,21.03,42.45,0.96,5.45,55.54,Satisfactory
26.37,40.69,11.65,11.45,18.3,40.68,1.21,5.45,46.53,Moderate
104.45,25.05,10.61,13.24,20.6,43.45,1.2,6.83,52.79,Moderate
20.76,35.25,10.37,11.16,21.63,34.03,1.01,5.77,51.41,Moderate
20.17,56.04,8.98,14.53,22.91,30.11,1.03,4.18,52.51,Satisfactory
19.34,43.22,8.35,11.06,18.82,31.52,1.17,6.57,51.3,Satisfactory
24.1,42.54,9.39,12.26,22.1,36.36,1.18,4.44,56.23,Satisfactory
